Dia	Pan De Viena La Panerita X 6 Un	Galletitas Minipolvorita Vainilla Frutilla 152g	Galletitas De Agua Traviata 303 Gr	Harina Cañuelas Ultra Refinada Vitamina D 1kg	Almidon De Maiz Sin Tacc Maizena X 500 Gr	Arroz Gallo Parboil Selec X500g	Fideos Lucchetti Tallarín N5 X500g	Asado Del Centro	Carnaza Comun	Osobuco	PALETA CHURRASCO	Carne Vacuna Picada Enfriada E	Milanesa Nalga	Higado Congelado	Pechito De Cerdo Fresco	Pollo Fresco Con Menudos	Milanesas De Merluza Cuisine Y Co  Rebozadas 500 Gr	Mortadela Paladini Familiar 500 Gr	Jamon Cocido Tripack Kg 1 Sob Minimo 800 Gr Mayorista	Salchichón Calchaqui.	Salame Milan Tripack Por Kg Mínimo 800 Gr Mayorista	Aceite Cañuelas De Girasol - 1.5 L	Manteca Ls Bienestar Animal 200 G	Leche La Serenisima Liviana Bot 1l	Leche En Polvo Nutrifuerza La Lechera® 800 Gr	Queso Crema Clasico Tregar 280g	Queso Cremoso Punta Del Agua Horma X Kg	Queso Reggianito Rallado La Serenisima 175gr	Margarina Margadan Vegetal 200g	Yogur Entero La Serenísima Clásico Frutilla 900g	Dulce De Leche La Serenisima Colonial 400 G	Huevos Blancos Maxima 30 U	Manzana Royal Gala Por Kg	Mandarina Okitsu Por Kg	Naranja Jugo Especial Por Kg	Banana Ecuador Por Kg	Pera Por Kg	Batata Por Kg	Papa Negra Por Kg	Acelga Green Life 550 Gr	Cebolla Superior Por Kg	Choclo X Unidad	Lechuga Capuchina Por Kg	Tomate Redondo Grande Por Kg	Zanahoria Organica Fraccionada	Zapallo Coreano Por Kg	Tomate Perita En Lata Arcor 400 Gr	Arvejas Inalpa Secas Remojadas X300gr	Lentejas Cuisine-co 300 Gr	Azúcar Chango 1 Kg.	Dulce De Batata El Guri Bar-1-kg	Mermelada Light Durazno Alco 390 Gr	Sal Fina Dos Anclas 500 Gr	Mayonesa Clasica Hellmanns 237 Gr	Vinagre De Manzana Menoyo 500 Ml	Caldo KNORR de Verdura deshidratado 6 cubos	Gaseosa Coca-cola Sabor Original 2.25 L	Jugo En Polvo Clight Naranja Dulce 7,5 G	Soda Sifón Saldan 2 L	Cerveza Quilmes Clásica Retornable 1 L	Vino Tinto Viñas De Balbo Borgoña 1.125 Cc	Café Dolca Suave Nescafé® 170 Gr	Yerba Mate Suave Playadito 500 Gr	Te Naturalidad Intacta La Virginia 50 Saquitos
01-04-2024	4700.00	6250.00	3649.78	1421.57	3039.22	3431.37	2156.86	7665.69	4489.22	3430.39	7975.49	5544.12	9191.18	3093.14	3822.55	2057.84	10098.04	6935.29	8231.02	6294.93	11763.48	1699.35	13141.62	1175.49	9596.81	7352.94	8193.14	23876.19	5880.00	1514.16	4239.53	184.64	2940.20	979.41	2646.08	1899.00	1273.53	616.67	783.33	4099.82	1175.49	548.04	5293.14	2646.08	2941.18	322.55	2328.43	1797.39	2777.78	1310.78	3038.24	2388.13	1843.14	3516.17	3431.37	14619.88	947.71	3790.85	588.24	1803.92	2570.81	27681.66	3921.57	31.37
02-04-2024	4800.00	6250.00	3722.77	1450.00	3100.00	3500.00	2200.00	7819.00	4579.00	3499.00	8135.00	5655.00	9375.00	3155.00	3899.00	2099.00	10300.00	7074.00	8231.02	6420.83	11998.75	1733.33	13404.45	1199.00	9788.75	7500.00	8357.00	24353.71	5900.00	1544.44	4324.33	184.64	2999.00	999.00	2699.00	1899.00	1299.00	629.00	799.00	4181.82	1199.00	559.00	5399.00	2699.00	3000.00	329.00	2375.00	1833.33	2833.33	1337.00	3099.00	2435.90	1880.00	3586.50	3500.00	14912.28	966.67	3866.67	600.00	1840.00	2622.22	28235.29	4000.00	31.37
03-04-2024	4800.00	6250.00	3722.77	1450.00	3100.00	3500.00	2200.00	7819.00	4579.00	3499.00	8135.00	5655.00	9375.00	3155.00	3899.00	2099.00	10300.00	7074.00	8231.02	6420.83	11998.75	1733.33	13404.45	1199.00	9788.75	7500.00	8357.00	24353.71	5900.00	1544.44	4324.33	184.64	2999.00	999.00	2699.00	1899.00	1299.00	629.00	799.00	4181.82	1199.00	559.00	5399.00	2699.00	3000.00	329.00	2375.00	1833.33	2833.33	1337.00	3099.00	2435.90	1880.00	3586.50	3500.00	14912.28	966.67	3866.67	600.00	1840.00	2622.22	28235.29	4000.00	31.37
04-04-2024	4800.00	6250.00	3722.77	1450.00	3100.00	3500.00	2200.00	7819.00	4579.00	3499.00	8135.00	5655.00	9375.00	3155.00	3899.00	2099.00	10300.00	7074.00	8231.02	6420.83	11998.75	1733.33	13404.45	1199.00	9788.75	7500.00	8357.00	24353.71	5900.00	1544.44	4324.33	184.64	2999.00	999.00	2699.00	1899.00	1299.00	629.00	799.00	4181.82	1199.00	559.00	5399.00	2699.00	3000.00	329.00	2375.00	1833.33	2833.33	1337.00	3099.00	2435.90	1880.00	3586.50	3500.00	14912.28	966.67	3866.67	600.00	1840.00	2622.22	28235.29	4000.00	31.37
05-04-2024	4700.00	6250.00	3722.77	1450.00	3100.00	3500.00	2200.00	7819.00	4579.00	3499.00	8135.00	5655.00	9375.00	3155.00	3899.00	2099.00	10300.00	7074.00	8231.02	6420.83	11998.75	1733.33	13404.45	1199.00	9788.75	7500.00	8357.00	24353.71	5900.00	1544.44	4324.33	184.64	2999.00	999.00	2699.00	1899.00	1299.00	629.00	799.00	4181.82	1199.00	559.00	5399.00	2699.00	3000.00	329.00	2375.00	1833.33	2833.33	1337.00	3099.00	2435.90	1880.00	3586.50	3500.00	14912.28	966.67	3866.67	600.00	1840.00	2622.22	28235.29	4000.00	31.37
06-04-2024	4800.00	6250.00	3722.77	1450.00	3100.00	3500.00	2200.00	7819.00	4579.00	3499.00	8135.00	5655.00	9375.00	3155.00	3899.00	2099.00	10300.00	7074.00	8231.02	6420.83	11998.75	1733.33	13404.45	1199.00	9788.75	7500.00	8357.00	24353.71	5900.00	1544.44	4324.33	184.64	2999.00	999.00	2699.00	1899.00	1299.00	629.00	799.00	4181.82	1199.00	559.00	5399.00	2699.00	3000.00	329.00	2375.00	1833.33	2833.33	1337.00	3099.00	2435.90	1880.00	3586.50	3500.00	14912.28	966.67	3866.67	600.00	1840.00	2622.22	28235.29	4000.00	31.37
07-04-2024	4800.00	6250.00	3722.77	1450.00	3100.00	3500.00	2200.00	7819.00	4579.00	3499.00	8135.00	5655.00	9375.00	3155.00	3899.00	2099.00	10300.00	7074.00	8231.02	6420.83	11998.75	1733.33	13404.45	1199.00	9788.75	7500.00	8357.00	24353.71	5900.00	1544.44	4324.33	184.64	2999.00	999.00	2699.00	1899.00	1299.00	629.00	799.00	4181.82	1199.00	559.00	5399.00	2699.00	3000.00	329.00	2375.00	1833.33	2833.33	1337.00	3099.00	2435.90	1880.00	3586.50	3500.00	14912.28	966.67	3866.67	600.00	1840.00	2622.22	28235.29	4000.00	31.37
08-04-2024	4800.00	6250.00	3722.77	1450.00	3100.00	3500.00	2200.00	7819.00	4579.00	3499.00	8135.00	5655.00	9375.00	3155.00	3899.00	2099.00	10300.00	7074.00	8231.02	6420.83	11998.75	1733.33	13404.45	1199.00	9788.75	7500.00	8357.00	24353.71	5900.00	1544.44	4324.33	184.64	2999.00	999.00	2699.00	1899.00	1299.00	629.00	799.00	4181.82	1199.00	559.00	5399.00	2699.00	3000.00	329.00	2375.00	1833.33	2833.33	1337.00	3099.00	2435.90	1880.00	3586.50	3500.00	14912.28	966.67	3866.67	600.00	1840.00	2622.22	28235.29	4000.00	31.37
09-04-2024	4800.00	6250.00	3722.77	1450.00	3100.00	3500.00	2200.00	7819.00	4579.00	3499.00	8135.00	5655.00	9375.00	3155.00	3899.00	2099.00	10300.00	7074.00	8231.02	6420.83	11998.75	1733.33	13404.45	1199.00	9788.75	7500.00	8357.00	24353.71	5900.00	1544.44	4324.33	184.64	2999.00	999.00	2699.00	1899.00	1299.00	629.00	799.00	4181.82	1199.00	559.00	5399.00	2699.00	3000.00	329.00	2375.00	1833.33	2833.33	1337.00	3099.00	2435.90	1880.00	3586.50	3500.00	14912.28	966.67	3866.67	600.00	1840.00	2622.22	28235.29	4000.00	31.37
10-04-2024	4800.00	6250.00	3722.77	1450.00	3100.00	3500.00	2200.00	7819.00	4579.00	3499.00	8135.00	5655.00	9375.00	3155.00	3899.00	2099.00	10300.00	7074.00	8231.02	6420.83	11998.75	1733.33	13404.45	1801.88	9788.75	7500.00	8357.00	25571.43	5900.00	2419.67	6652.80	184.64	2999.00	999.00	2699.00	1899.00	1299.00	629.00	799.00	4181.82	1199.00	559.00	5399.00	2024.25	3000.00	329.00	2375.00	1833.33	2833.33	1337.00	3099.00	2435.90	1880.00	3586.50	3500.00	14912.28	966.67	3866.67	600.00	1840.00	2622.22	30588.24	4200.00	31.37
