Dia	Pan De Viena La Panerita X 6 Un	Galletitas Minipolvorita Vainilla Frutilla 152g	Galletitas De Agua Traviata 303 Gr	Harina Integral 100pureza 1 Kg	Almidon De Maiz Sin Tacc Maizena X 500 Gr	Arroz Gallo Parboil Selec X500g	Fideos Lucchetti Tallarín N5 X500g	Asado Del Centro	Carnaza Comun	Osobuco	PALETA CHURRASCO	Carne Vacuna Picada Enfriada E	Milanesa Nalga	Higado Congelado	Pechito De Cerdo Fresco	Pollo Con Menudos Congelado	Milanesas De Merluza Cuisine Y Co  Rebozadas 500 Gr	Mortadela Paladini Familiar 500 Gr	Bife De Paleta De Cerdo Fresco	Salchichón Calchaqui.	Salame Milan Tripack Por Kg Mínimo 800 Gr Mayorista	Aceite Cañuelas De Girasol - 1.5 L	Manteca Ls Bienestar Animal 200 G	Leche La Serenisima Liviana Bot 1l	Leche En Polvo Nutrifuerza La Lechera® 800 Gr	Queso Crema Clasico Tregar 280g	Queso Cremoso Punta Del Agua Horma X Kg	Queso Reggianito Rallado La Serenisima 175gr	Manteca Primer Premio 200 Gr	Yogur Entero La Serenísima Clásico Frutilla 900g	Dulce De Leche La Serenisima Colonial 400 G	Huevos Blancos Maxima 30 U	Manzana Royal Gala Por Kg	Mandarina Okitsu Por Kg	Naranja Jugo Especial Por Kg	Banana Ecuador Por Kg	Pera Por Kg	Batata Por Kg	Papa Negra Por Kg	Acelga Green Life 550 Gr	Cebolla Superior Por Kg	Choclo X Unidad	Lechuga Capuchina Por Kg	Tomate Redondo Grande Por Kg	Zanahoria Organica Fraccionada	Zapallo Coreano Por Kg	Tomate Perita En Lata Arcor 400 Gr	Arvejas Inalpa Secas Remojadas X300gr	Lentejas Cuisine-co 300 Gr	Azúcar Chango 1 Kg.	Dulce De Batata El Guri Bar-1-kg	Mermelada Light Durazno Alco 390 Gr	Sal Fina Dos Anclas 500 Gr	Mayonesa Clasica Hellmanns 237 Gr	Vinagre De Manzana Menoyo 500 Ml	Caldo KNORR de Verdura deshidratado 6 cubos	Gaseosa Coca-cola Sabor Original 2.25 L	Jugo En Polvo Clight Naranja Dulce 7,5 G	Soda Sifón Saldan 2 L	Cerveza Quilmes Clásica Retornable 1 L	Vino Tinto Viñas De Balbo Borgoña 1.125 Cc	Café Dolca Original Nescafé® 170 Gr	Yerba Mate Suave Playadito 500 Gr	Te Naturalidad Intacta La Virginia 50 Saquitos
01-04-2024	4600	6250	3649.776742	1421.568627	3039.215686	3431.372549	2156.862745	7665.686275	4489.215686	3430.392157	7975.490196	5544.117647	9191.176471	3093.137255	3822.54902	2057.843137	10098.03922	6935.294118	3724.509804	6294.934641	11763.48039	1699.346405	13141.61765	1175.490196	9596.813725	7352.941176	8193.137255	23876.19048	11029.41176	1514.16122	4239.534314	184.64	2940.196078	979.4117647	2646.078431	1899	1273.529412	616.6666667	783.3333333	4099.821747	1175.490196	548.0392157	5293.137255	2646.078431	2941.176471	322.5490196	2328.431373	1797.385621	2777.777778	1310.784314	3038.235294	2388.134741	1843.137255	3516.174402	3431.372549	14619.88304	947.7124183	3790.849673	588.2352941	1803.921569	2570.8061	27681.6609	3921.568627	31.3726
02-04-2024	4600	6250	3722.772277	1450	3100	3500	2200	7819	4579	3499	8135	5655	9375	3155	3899	2099	10300	7074	3799	6420.833333	11998.75	1733.333333	13404.45	1199	9788.75	7500	8357	24353.71429	11250	1544.444444	4324.325	184.64	2999	999	2699	1899	1299	629	799	4181.818182	1199	559	5399	2699	3000	329	2375	1833.333333	2833.333333	1337	3099	2435.897436	1880	3586.49789	3500	14912.2807	966.6666667	3866.666667	600	1840	2622.222222	28235.29412	4000	31.3726
03-04-2024	4600	6250	3722.772277	1450	3100	3500	2200	7819	4579	3499	8135	5655	9375	3155	3899	2099	10300	7074	3799	6420.833333	11998.75	1733.333333	13404.45	1199	9788.75	7500	8357	24353.71429	11250	1544.444444	4324.325	184.64	2999	999	2699	1899	1299	629	799	4181.818182	1199	559	5399	2699	3000	329	2375	1833.333333	2833.333333	1337	3099	2435.897436	1880	3586.49789	3500	14912.2807	966.6666667	3866.666667	600	1840	2622.222222	28235.29412	4000	31.3726
04-04-2024	4600	6250	3722.772277	1450	3100	3500	2200	7819	4579	3499	8135	5655	9375	3155	3899	2099	10300	7074	3799	6420.833333	11998.75	1733.333333	13404.45	1199	9788.75	7500	8357	24353.71429	11250	1544.444444	4324.325	184.64	2999	999	2699	1899	1299	629	799	4181.818182	1199	559	5399	2699	3000	329	2375	1833.333333	2833.333333	1337	3099	2435.897436	1880	3586.49789	3500	14912.2807	966.6666667	3866.666667	600	1840	2622.222222	28235.29412	4000	31.3726
05-04-2024	4700	6250	3722.772277	1450	3100	3500	2200	7819	4579	3499	8135	5655	9375	3155	3899	2099	10300	7074	3799	6420.833333	11998.75	1733.333333	13404.45	1199	9788.75	7500	8357	24353.71429	11250	1544.444444	4324.325	184.64	2999	999	2699	1899	1299	629	799	4181.818182	1199	559	5399	2699	3000	329	2375	1833.333333	2833.333333	1337	3099	2435.897436	1880	3586.49789	3500	14912.2807	966.6666667	3866.666667	600	1840	2622.222222	28235.29412	4000	31.3726
06-04-2024	4800	6250	3722.772277	1450	3100	3500	2200	7819	4579	3499	8135	5655	9375	3155	3899	2099	10300	7074	3799	6420.833333	11998.75	1733.333333	13404.45	1199	9788.75	7500	8357	24353.71429	11250	1544.444444	4324.325	184.64	2999	999	2699	1899	1299	629	799	4181.818182	1199	559	5399	2699	3000	329	2375	1833.333333	2833.333333	1337	3099	2435.897436	1880	3586.49789	3500	14912.2807	966.6666667	3866.666667	600	1840	2622.222222	28235.29412	4000	31.3726
07-04-2024	4800	6250	3722.772277	1450	3100	3500	2200	7819	4579	3499	8135	5655	9375	3155	3899	2099	10300	7074	3799	6420.833333	11998.75	1733.333333	13404.45	1199	9788.75	7500	8357	24353.71429	11250	1544.444444	4324.325	184.64	2999	999	2699	1899	1299	629	799	4181.818182	1199	559	5399	2699	3000	329	2375	1833.333333	2833.333333	1337	3099	2435.897436	1880	3586.49789	3500	14912.2807	966.6666667	3866.666667	600	1840	2622.222222	28235.29412	4000	31.3726
08-04-2024	4800	6250	3722.772277	1450	3100	3500	2200	7819	4579	3499	8135	5655	9375	3155	3899	2099	10300	7074	3799	6420.833333	11998.75	1733.333333	13404.45	1199	9788.75	7500	8357	24353.71429	11250	1544.444444	4324.325	184.64	2999	999	2699	1899	1299	629	799	4181.818182	1199	559	5399	2699	3000	329	2375	1833.333333	2833.333333	1337	3099	2435.897436	1880	3586.49789	3500	14912.2807	966.6666667	3866.666667	600	1840	2622.222222	28235.29412	4000	31.3726
09-04-2024	4800	6250	3722.772277	1450	3100	3500	2200	7819	4579	3499	8135	5655	9375	3155	3899	2099	10300	7074	3799	6420.833333	11998.75	1733.333333	13404.45	1199	9788.75	7500	8357	24353.71429	11250	1544.444444	4324.325	184.64	2999	999	2699	1899	1299	629	799	4181.818182	1199	559	5399	2699	3000	329	2375	1833.333333	2833.333333	1337	3099	2435.897436	1880	3586.49789	3500	14912.2807	966.6666667	3866.666667	600	1840	2622.222222	28235.29412	4000	31.3726
10-04-2024	4800	6250	3722.772277	1450	3100	3500	2200	7819	4579	3499	8135	5655	9375	3155	3899	2099	10300	7074	3730	6420.833333	11998.75	1733.333333	13404.45	1801.88	9788.75	7500	8357	25571.42857	11250	2419.666667	6652.8	184.64	2999	999	2699	1899	1299	629	799	4181.818182	1199	559	5399	2024.25	3000	329	2375	1833.333333	2833.333333	1337	3099	2435.897436	1880	3586.49789	3500	14912.2807	966.6666667	3866.666667	600	1840	2622.222222	30588.23529	4200	31.3726
